id,product_name,price,category,availability,description,img_primary,img_secondary,url
p114,Baby Soothing Aloe Gel 250Ml,19,mind & body care  baby care,no,"A light gel infused with naturally hydrating fresh Aloe Vera, to effectively soothe & care for delicate skin & hair. Pure Witch Hazel combines with Calendula & Apricot to comfort & protect from head-to-toe, protecting against dryness, environment & minor irritations. The allergen-free aromatic blend is infused with Lavender, Rose Geranium, Neroli & Ylang Ylang to help calm & comfort the senses, promoting natural relaxation.
* Dermatologically Tested
* Pure & Gentle",Baby Soothing Aloe Gel 250Ml_primary.jpg,Baby Soothing Aloe Gel 250Ml_secondary.jpg,https://store.spaceylon.com/product/baby-soothing-aloe-gel-250ml/
p115,Baby Shampoo 250ml,19,mind & body care  baby care,no,"A light natural formula that is gentle for the eyes. Infused with Aloe Vera, Calendula & Mango to remove impurities & softly cleanse delicate hair & scalp. Virgin Coconut, Sweet Almond, & Sunflower help hydrate & fortify natural scalp balance, leaving hair soft & silky. The allergen-free aromatic blend is infused with Lavender, Rose Geranium, Neroli & Ylang Ylang to help calm & comfort the senses, promoting natural relaxation.
* Dermatologically Tested
* Pure & Gentle",Baby Shampoo 250ml_primary.jpg,Baby Shampoo 250ml_secondary.jpg,https://store.spaceylon.com/product/baby-shampoo-250ml/
p116,Baby Wash 250ml,19,mind & body care  baby care,no,"A light natural formula, infused with Aloe Vera, Licorice & Calendula to gently, yet effectively remove impurities & cleanse delicate skin. Virgin Coconut, Sweet Almond, & Sunflower help soothe & hydrate, leaving skin soft & fresh. The allergen-free aromatic blend is infused with Lavender, Rose Geranium, Neroli & Ylang Ylang to help calm & comfort the senses, promoting natural relaxation.
* Dermatologically Tested
* Pure & Gentle",Baby Wash 250ml_primary.jpg,Baby Wash 250ml_secondary.jpg,https://store.spaceylon.com/product/baby-wash-250ml/
p117,Breathe â€“ Relieving Inhaler,14,mind & body care  soothing balms & inhalers,yes,"A 100% natural, reviving & uplifting formula enriched with powerful Ayurveda WonderHerbs. Energising Ceylon Cinnamon & Cardamom combine to help reduce stuffiness & ease discomfort.",Breathe â€“ Relieving Inhaler_primary.jpg,Breathe â€“ Relieving Inhaler_secondary.jpg,https://store.spaceylon.com/product/breathe-relieving-inhaler/
p118,Grapefruit Blossom â€“ Hand Sanitiser Essential Oil Blended 250ml,18,mind & body care  hand sanitisers,yes,"A unique broad spectrum protectant with 70% purifying natural Sugar Cane Alcohol, hydrating community trade Aloe Vera, soothing Witch Hazel, natural Vitamin E & precious essential oils.
Infused with the awakening aroma of Grapefruit & Lemon combined with the freshness of Ceylonese citrus fruits, flowers & herbs.
* 100% Vegan & Vegetarian
* Supports Community Fair Trade
* Against Animal Cruelty
* Promotes Sustainable Harvesting",Grapefruit Blossom â€“ Hand Sanitiser Essential Oil Blended 250ml_primary.jpg,Grapefruit Blossom â€“ Hand Sanitiser Essential Oil Blended 250ml_secondary.jpg,https://store.spaceylon.com/product/grapefruit-blossom-hand-sanitiser-essential-oil-blended-250ml/
p119,Eucalyptus & Neem â€“ Anti-Bacterial Exfoliating Wellness Soap 100g,7,mind & body care  bath & shower,no,"A deep-purifying treatment infused with a naturally anti-bacterial blend of Eucalyptus, Neem, Licorice, Lavender, Lemon, Rosemary & Peppermint. Neem, Moringa & Red Rice naturally exfoliate body, while Virgin Coconut, Rice bran, Wheatgerm & Almond nourish & soften skin.",Eucalyptus & Neem â€“ Anti-Bacterial Exfoliating Wellness Soap 100g_primary.jpg,Eucalyptus & Neem â€“ Anti-Bacterial Exfoliating Wellness Soap 100g_secondary.jpg,https://store.spaceylon.com/product/eucalyptus-neem-anti-bacterial-exfoliating-wellness-soap-100g/
p120,Turmeric & Tea Tree â€“ Anti-Bacterial Exfoliating Wellness Soap 100g,7,mind & body care  bath & shower,yes,Description not available,Turmeric & Tea Tree â€“ Anti-Bacterial Exfoliating Wellness Soap 100g_primary.jpg,Turmeric & Tea Tree â€“ Anti-Bacterial Exfoliating Wellness Soap 100g_secondary.jpg,https://store.spaceylon.com/product/turmeric-tea-tree-anti-bacterial-exfoliating-wellness-soap-100g/
p121,Energise â€“ Invigorating Body Milk 250ml,24,mind & body care  energize,no,"A warming & hydrating blend of powerful Ayurveda herbs & potent essential oils.Organic Ceylon Cinnamon helps invigorate & revive the body & mind, gently easing stress. Refreshing Bergamot promotes clarity & awakens the senses, while precious oriental Patchouli helps uplift & balance the chakras.",Energise â€“ Invigorating Body Milk 250ml_primary.jpg,Energise â€“ Invigorating Body Milk 250ml_secondary.jpg,https://store.spaceylon.com/product/energise-invigorating-body-milk-250ml/
p122,Energise â€“ Hydrating Body Butter 225g,26,mind & body care  energize,yes,"A rich, deep-hydrating & warming blend of powerful Ayurveda herbs & potent essential oils. Organic Ceylon Cinnamon helps invigorate & revive the body & mind, gently easing stress. Refreshing Bergamot promotes clarity & awakens the senses, while precious oriental Patchouli helps uplift & balance the chakras.",Energise â€“ Hydrating Body Butter 225g_primary.jpg,Energise â€“ Hydrating Body Butter 225g_secondary.jpg,https://store.spaceylon.com/product/energise-hydrating-body-butter-225g/
p123,Peace â€“ Hand Wash 250ml,15,mind & body care  for men,yes,A gentle hand cleanser with a blend of herbs & essential promote peace & harmony.,Peace â€“ Hand Wash 250ml_primary.jpg,Peace â€“ Hand Wash 250ml_secondary.jpg,https://store.spaceylon.com/product/peace-hand-wash-250ml/
