section,name,price,category,description,availability,img_primary,img_secondary,product_url
home,Neroli Jasmine – Scalp Massage Oil 250ml,$19.00 ,DANDRUFF & DRY SCALP,A calming blend of essential oils & hydrating Ayurveda herbs infused in vitamin rich Virgin Coconut oil.,Out of stock,Neroli Jasmine – Scalp Massage Oil 250ml_primary.jpg,Neroli Jasmine – Scalp Massage Oil 250ml_secondary.jpg,https://store.spaceylon.com/product/neroli-jasmine-scalp-massage-oil-250ml/
home,Neelayadi – Scalp & Hair Treatment Oil 250ml,$19.00 ,DANDRUFF & OILY SCALP,A powerful traditional formula with unique medicated soothing action.,Out of stock,Neelayadi – Scalp & Hair Treatment Oil 250ml_primary.jpg,Neelayadi – Scalp & Hair Treatment Oil 250ml_secondary.jpg,https://store.spaceylon.com/product/neelayadi-scalp-hair-treatment-oil-250ml/
home,Nishadi – Scalp & Hair Treatment Oil 250ml,$19.00 ,OIL,A powerful traditional formula with energizing therapeutic action.,Out of stock,Nishadi – Scalp & Hair Treatment Oil 250ml_primary.jpg,Nishadi – Scalp & Hair Treatment Oil 250ml_secondary.jpg,https://store.spaceylon.com/product/nishadi-scalp-hair-treatment-oil-250ml/
home,Thriphala – Treatment Oil 250ml,$17.00 ,OIL,A powerful traditional formula. Increases blood circulation & relieves muscle & joint pains.,Out of stock,Thriphala – Treatment Oil 250ml_primary.jpg,Thriphala – Treatment Oil 250ml_secondary.jpg,https://store.spaceylon.com/product/thriphala-treatment-oil-250ml/
home,Ksheerabala – Treatment Oil 250ml,$17.00 ,OIL,"A powerful traditional formula. Hydrates muscle & joint pains. Effectively relieves body fatigue & relaxes body.
 ",Out of stock,Ksheerabala – Treatment Oil 250ml_primary.jpg,Ksheerabala – Treatment Oil 250ml_secondary.jpg,https://store.spaceylon.com/product/ksheerabala-treatment-oil-250ml/
home,Cedarwood – Essential Oil 20ml,$22.00 ,ESSENTIAL OILS,Fortifying Calming & Strengthening,In Stock,Cedarwood – Essential Oil 20ml_primary.jpg,Cedarwood – Essential Oil 20ml_secondary.jpg,https://store.spaceylon.com/product/cedarwood-essential-oil-20ml/
home,Frankincense – Essential Oil 20ml,$29.00 ,ESSENTIAL OILS,"Deeply Calming, Revitalizing & Uplifting",In Stock,Frankincense – Essential Oil 20ml_primary.jpg,Frankincense – Essential Oil 20ml_secondary.jpg,https://store.spaceylon.com/product/frankincense-essential-oil-20ml/
home,Pink Grapefruit – Aromaveda Natural Candle 50g,$13.00 ,AROMA FOR VERANDAS,"Awakening, Uplifting & Refreshing
A 100% natural blend of vegetable waxes & pure essential oils with aromas reminiscent of old Ceylon. Carefully blended & hand poured, to ensure the soothing properties of the essential oils are present in every candle. Long lasting candle slow-burns for over 6 hours.",In Stock,,Pink Grapefruit – Aromaveda Natural Candle 50g_secondary.jpg,https://store.spaceylon.com/product/pink-grapefruit-aromaveda-natural-candle-50g/
home,Forest Trail – Aromaveda Natural Candle 50g,$13.00 ,AROMA FOR VERANDAS,"Soothing, Refreshing & Balancing
A 100% natural blend of vegetable waxes & pure essential oils with aromas reminiscent of old Ceylon. Carefully blended & hand poured, to ensure the soothing properties of the essential oils are present in every candle. Long lasting candle slow-burns for over 6 hours.",In Stock,,Forest Trail – Aromaveda Natural Candle 50g_secondary.jpg,https://store.spaceylon.com/product/forest-trail-aromaveda-natural-candle-50g/
home,Frankincense Kay Lime – Aromaveda Natural Candle 50g,$13.00 ,AROMA FOR VERANDAS,"Calming, Refreshing & Balancing
A 100% natural blend of vegetable waxes & pure essential oils with aromas reminiscent of old Ceylon. Carefully blended & hand poured, to ensure the soothing properties of the essential oils are present in every candle. Long lasting candle slow-burns for over 6 hours.",In Stock,,Frankincense Kay Lime – Aromaveda Natural Candle 50g_secondary.jpg,https://store.spaceylon.com/product/frankincense-kay-lime-aromaveda-natural-candle-50g/
home,Pink Grapefruit – Natural Room Aromizer 190ml,$38.00 ,EVENT FRAGRANCES,A decorative Natural Room Aromizer combining vintage glass and fiber diffuser sticks with pure essential oils & natural fragrance compounds.,In Stock,Pink Grapefruit – Natural Room Aromizer 190ml_primary.jpg,Pink Grapefruit – Natural Room Aromizer 190ml_secondary.jpg,https://store.spaceylon.com/product/pink-grapefruit-natural-room-aromizer-190ml/
home,Forest Trail – Natural Room Aromizer 190ml,$38.00 ,EVENT FRAGRANCES,A decorative Natural Room Aromizer combining vintage glass and fiber diffuser sticks with pure essential oils & natural fragrance compounds.,In Stock,,Forest Trail – Natural Room Aromizer 190ml_secondary.jpg,https://store.spaceylon.com/product/forest-trail-natural-room-aromizer-190ml/
home,Ceylon Pink Grapefruit – Elephant Aromaveda Sachet,$13.00 ,AROMA FOR BEDROOM,"A luxury aroma sachet uniquely combining natural volcanic minerals with pure essential oils & natural compounds to create exotic aromas reminiscent of old Ceylon. Ideal to naturally fragrance cars, pillows, linen, bedding, drawers, wardrobes, suitcases & small interior spaces.",In Stock,,Ceylon Pink Grapefruit – Elephant Aromaveda Sachet_secondary.jpg,https://store.spaceylon.com/product/ceylon-pink-grapefruit-elephant-aromaveda-sachet/
home,Ceylon Spiced Sandalwood – Elephant Aromaveda Sachet,$13.00 ,AROMA FOR BEDROOM,"A luxury aroma sachet uniquely combining natural volcanic minerals with pure essential oils & natural compounds to create exotic aromas reminiscent of old Ceylon. Ideal to naturally fragrance cars, pillows, linen, bedding, drawers, wardrobes, suitcases & small interior spaces.",In Stock,,,https://store.spaceylon.com/product/ceylon-spiced-sandalwood-elephant-aromaveda-sachet/
home,Ceylon Forest Trail – Elephant Aromaveda Sachet,$13.00 ,AROMA FOR BEDROOM,"A luxury aroma sachet uniquely combining natural volcanic minerals with pure essential oils & natural compounds to create exotic aromas reminiscent of old Ceylon. Ideal to naturally fragrance cars, pillows, linen, bedding, drawers, wardrobes, suitcases & small interior spaces.",In Stock,,,https://store.spaceylon.com/product/ceylon-forest-trail-elephant-aromaveda-sachet/
home,Cardamom Rose – Aromaveda Sachet,$13.00 ,AROMA FOR BEDROOM,"Fortifying, Uplifting & Delighting
A luxury aroma sachet uniquely combining natural volcanic minerals with pure essential oils & natural compounds to create exotic aromas reminiscent of old Ceylon. Ideal to naturally fragrance cars, pillows, linen, bedding, drawers, wardrobes, suitcases & small interior spaces.",In Stock,Cardamom Rose – Aromaveda Sachet_primary.jpg,Cardamom Rose – Aromaveda Sachet_secondary.jpg,https://store.spaceylon.com/product/cardamom-rose-aromaveda-sachet/
